CNN_ID,attack_type,acc,precision,f1,auc-roc,pert_type,pert_size
98c1d625fed1cb67f6371ced3b9e6bbdab616bd361ffcf8518fd3256714e6421,clean,0.675,0.67218317407942,0.6721621873009098,0.9495024203970379,none,0.0
98c1d625fed1cb67f6371ced3b9e6bbdab616bd361ffcf8518fd3256714e6421,fgsm,0.252,0.2565373880301787,0.2518198055321709,0.7597539108653061,min,0.10718879848718643
98c1d625fed1cb67f6371ced3b9e6bbdab616bd361ffcf8518fd3256714e6421,pgd,0.147,0.14661512017337022,0.14418303760538448,0.7025006453205536,mean,0.4982609152793884
7bbe6443e80fbad2dd35872abf47871c918ec523abbee9e766bcc417877d4989,clean,0.702,0.7034103351094009,0.7020510682758953,0.9529571060049138,none,0.0
7bbe6443e80fbad2dd35872abf47871c918ec523abbee9e766bcc417877d4989,fgsm,0.184,0.18532324201896913,0.18264541784460742,0.7448168282422815,min,0.1071898490190506
7bbe6443e80fbad2dd35872abf47871c918ec523abbee9e766bcc417877d4989,pgd,0.125,0.12358760820966226,0.12251629549235939,0.6744461757571415,mean,0.4977119565010071
a6576cb581ce45e0bf60666560db259853a452eec0a1b8bb8767865921c9edab,clean,0.659,0.6536171536518581,0.6549763668873043,0.9443173798072771,none,0.0
a6576cb581ce45e0bf60666560db259853a452eec0a1b8bb8767865921c9edab,fgsm,0.258,0.2627321711192148,0.25724853462974634,0.7919132665363984,min,0.10715815424919128
a6576cb581ce45e0bf60666560db259853a452eec0a1b8bb8767865921c9edab,pgd,0.191,0.19349964821543414,0.1895477051251282,0.746132591434826,mean,0.5065548419952393
f73690ce80bce7f498e27a5ef350775fdb278ef728d15b528d82386fd2f693bc,clean,0.69,0.6889701024970758,0.689251908366275,0.9546967305201569,none,0.0
f73690ce80bce7f498e27a5ef350775fdb278ef728d15b528d82386fd2f693bc,fgsm,0.246,0.2551805354392995,0.2486341174940975,0.7900774748770528,min,0.10723738372325897
f73690ce80bce7f498e27a5ef350775fdb278ef728d15b528d82386fd2f693bc,pgd,0.169,0.1722957253786552,0.16806427850798802,0.7396493865442357,mean,0.5052396059036255
06057772973b9be362000dd755f43129bb30ffd3c7003018229bad6ab3cfbee4,clean,0.701,0.703302193095799,0.7017992677719146,0.9525795457249014,none,0.0
06057772973b9be362000dd755f43129bb30ffd3c7003018229bad6ab3cfbee4,fgsm,0.192,0.19628484336901897,0.19314406540291798,0.7384613608753038,min,0.10730236023664474
06057772973b9be362000dd755f43129bb30ffd3c7003018229bad6ab3cfbee4,pgd,0.141,0.14809242876414846,0.1423050529435636,0.6744186654804474,mean,0.49247246980667114
a91e319c870f2d5325fa96a64addeebd02c079105244096a424a4fba6fce7891,clean,0.677,0.6754275994450814,0.6747974456237775,0.9523406582257803,none,0.0
a91e319c870f2d5325fa96a64addeebd02c079105244096a424a4fba6fce7891,fgsm,0.235,0.23978224664376058,0.23552346727336218,0.7897905623160486,min,0.10710691660642624
a91e319c870f2d5325fa96a64addeebd02c079105244096a424a4fba6fce7891,pgd,0.16,0.1616392079796727,0.15889974417819916,0.7419139302795784,mean,0.5050329566001892
